UnitType,PosterID,Title_TW,Title_EN,Image_TW_PC,Image_EN_PC,Desc_TW,Desc_EN,Voice_TW,Voice_EN,URL,Image_TW_Mobile,Image_EN_Mobile
當季單元主視覺,P001,當季單元,Current Program,當季單元＿官網行動橫式2120x1116.jpg,當季單元＿官網行動橫式2120x1116.jpg,"黑盒織造：動畫時空裡的孤獨與共生

當觀眾戴上虛擬實境頭戴式裝置，日常現實隨即被暫時切離，身體進入一個封閉、沉靜而高度集中的感知場域。這個由影像、聲音、運動與時間共同構成的黑盒空間，使觀看不再只是視覺的接收，而成為一種穿越邊界、重新定位自我與他者關係的經驗。
本展以「黑盒織造」為中文主題，並以 Entangled Voids 作為英文展名，從動畫與虛擬實境相互交會的條件出發，思考個體如何在封閉的感知空間中經驗孤獨，又如何在影像、互動與記憶的流動之中生成連結。所謂「黑盒」，既指向展覽空間，也指向觀者戴上頭顯後所進入的感官容器；而「織造」則不僅是形式的交織，更是關係、時間與情感層次的逐步構成。英文標題中的 Entangled Voids，則進一步將這種狀態轉化為更具當代性的命題：每一個孤立的感知場域並非彼此封閉，而是在不可見的層次中相互纏結、彼此牽動","Entangled Voids: Solitude and Coexistence in Animated Realities

When viewers put on a virtual reality headset, everyday reality is momentarily suspended, and the body enters an enclosed, quiet, and highly concentrated field of perception. In this black-box space, composed of moving image, sound, motion, and duration, viewing is no longer merely an act of seeing, but a passage across thresholds through which the relation between self and other is reoriented.

With Black Box Weaving as its Chinese title and Entangled Voids as its English title, the exhibition begins from the encounter between animation and virtual reality to consider how solitude is experienced within a closed perceptual environment, and how connection emerges through image, interaction, and memory in motion. The “black box” refers not only to the exhibition space, but also to the sensory chamber entered through the headset. “Weaving,” in turn, suggests more than formal interlacing; it points to the gradual formation of relations, temporalities, and affective layers. The English title, Entangled Voids, reframes this condition through a more contemporary proposition: each seemingly isolated perceptual field is never entirely sealed, but remains invisibly bound to others.",ai_voice_tw_d93da498.mp3,ai_voice_en_d93da498.mp3,,當季單元＿官網方形1080x1080.jpg,當季單元＿官網方形1080x1080.jpg
常態單元主視覺,P002,常態單元,Year-round Program,常態單元 海報.jpeg,常態單元 海報 EN.jpg,"本單元以「國美館典藏」及「臺灣藝術家經典作品」為選片核心。
執行團隊透過精選的重要圖像、裝置與影像創作，發展對應的 VR／沉浸式體驗內容，落實讓觀眾在虛擬空間中重新進入與感受經典作品的美學與脈絡。
此一策展執行方向旨在凸顯國內藝術創作能量與館藏價值，並透過數位轉譯與沉浸式詮釋，建立具在地文化根基的常態節目庫，確立 VR 藝廊與國美館的品牌核心辨識。","The selection core of this section focuses on the ""NTMoFA Collection"" and ""Classic Works by Taiwanese Artists."" 

We aime to develop corresponding VR and immersive experience content through selected significant images, installations, and video creations. This approach allows audiences to re-enter and perceive the aesthetics and context of these classic works within a virtual space.
 This curatorial direction aims to highlight domestic artistic creative energy and the value of the museum's collection. Through digital translation and immersive interpretation, it seeks to establish a regular program library grounded in local culture, solidifying the core identity that closely links the VR Gallery with the National Taiwan Museum of Fine Arts brand.
",ai_voice_tw_e4668049.mp3,ai_voice_en_4090a242.mp3,,常態單元 海報（行動版）.jpeg,常態單元 海報（行動版）EN.jpg
特別單元主視覺,P003,特別單元,Special Feature,特別單元.png,特別單元.png,"本單元定位為 VR 藝廊的動態引擎，旨在引入國際視野並促進創新對話。除了常態性的典藏應用外，本區塊聚焦於策劃「亮點特展」與「跨域合作」，致力於連結在地觀眾與全球沉浸式趨勢。
透過與國際影展、文化機構及頂尖技術團隊的策略結盟，我們將引進獲獎 XR 體驗與實驗性敘事作品。此策展策略不僅豐富了藝廊的節目多樣性，更作為跨產業交流的催化劑——融合視覺藝術、表演、聲音與互動科技。最終，本單元旨在拓展觀賞的定義，將藝廊定位為具備未來前瞻性的藝術表現樞紐。","This unit functions as the dynamic engine of the VR Gallery, designed to introduce international perspectives and foster innovative dialogue. Beyond the permanent collection, this section focuses on curating ""Highlight Exhibitions"" and ""Cross-disciplinary Collaborations"" that bridge the gap between local audiences and global immersive trends.",ai_voice_tw_cc4871e9.mp3,ai_voice_en_cc4871e9.mp3,,特別單元.png,特別單元.png
當季單元,P004,線迷宮,Ito Meikyū,線迷宮_XRMust_ItoMeykiu_poster.jpg,線迷宮_XRMust_ItoMeykiu_poster.jpg,Ito Meikyū在日語中意為「線迷宮」，是一個佈滿植物、家庭物品、動物、人類、符號和書法的虛擬景觀。這個虛擬實境作品展現生命在迷宮般的空間中不斷轉化，由此過程探索生命的循環本質。作品重現了《源氏物語》和《枕草子》中的場景，這兩部經典的日本故事描繪了宮廷生活和感性浪漫，均由十一世紀的女性作家所創作。作品中的虛擬建築遵循典籍中「吹拔屋台」的傳統技法，即以去掉屋頂的方式呈現，由鳥瞰式視角揭示內部的細膩空間。,"“Ito Meikyū”, meaning 'thread labyrinth' in Japanese, is a virtual landscape filled with plants, domestic objects, animals, humans, symbols, and calligraphy. Rendered in VR, it explores the cyclical nature of life in a continuous transformation within a maze-like space. The experience re-enacts scenes from The Tale of Genji and The Pillow Book, two classical Japanese stories that portray life and sensual romances in the royal court, both written by women authors in the 11th century. The presentation of this virtual architecture follows the fukinuki yatai tradition, which reveals intimate interiors from an aerial view by omitting the ceiling.",ai_voice_tw_9436b44d.mp3,ai_voice_en_9436b44d.mp3,,線迷宮_XRMust_ItoMeykiu_poster.jpg,線迷宮_XRMust_ItoMeykiu_poster.jpg
當季單元,P005,傑克與孤鳥,Jack & Flo,傑克與孤鳥_jack-flo.jpg,傑克與孤鳥_jack-flo.jpg,傑克獨自住在海中央孤立的懸崖小島上，與世隔絕。盛年時期的他，曾經是守望燈塔的管理員，而今，享受著平靜而簡單的生活，在島上的住房周圍，傑克只有一座燈塔和一棵小樹作伴，彷彿整個世界只剩下他一個人。某日，當他坐在懸崖邊釣魚時，意外遇見一隻受困在這座小島的鵜鶘，一段友誼就此展開，也悄然改變了傑克日復一日的生活。,"Jack, a former lighthouse keeper in his prime, lives isolated on his cliff-island lost in the middle of the ocean. He lives a peaceful existence at the top of the island, surrounded by his house, the lighthouse and a small tree. It seems that Jack is the last human being. While fishing from the top of the cliff, he accidentally encounters a great white pelican stranded on his island. A story of friendship begins between the two, which will profoundly change Jack's daily life.",ai_voice_tw_dabc825f.mp3,ai_voice_en_dabc825f.mp3,,傑克與孤鳥_jack-flo.jpg,傑克與孤鳥_jack-flo.jpg
當季單元,P006,鏡子,Mirror,(0217) 鏡子_海報w594×h840mm (2).jpg,(0217) 鏡子_海報w594×h840mm (2).jpg,"生命即是一場表演。導演以童年的鐵皮玩具作為靈感，在充滿想像力的懷舊世界中，巧妙結合了 3D 偶動畫與 2D 版畫媒材，打造出一齣充滿童趣、卻又帶著憂傷的虛擬實境劇場。

本作是金馬獎最佳動畫短片導演吳德淳的第一部 VR 作品。故事改編自作家謝文賢，榮獲臺中文學獎小說首獎的同名作品。劇情透過三個外型神似的鐵皮玩偶，接力詮釋三代之間，難以避免的家庭衝突。

劇中的男性角色，總在時間的推移下，成長為自己曾經討厭的「大人模樣」。不過在記憶深處，他們依然保有與母親共處的溫暖時光。回憶裡的男子深受母愛包圍，但最終，他們還是得孤獨地回歸現實。","Life is a show. By a colossal sculpture of the nature creation, a motherless tin boy sits boredly on a toilet, catching a glimpse of his father engaging in sordid affairs with other women. The story tells about three tin toys, revolving around three generations, each bearing a resemblance to one another, as they inevitably confront family conflicts. Among them, the male members are rushed by the relentless time, growing into the ""adults"" they once despised, as if trapped in a mirror reflection, unable to break themselves free. Deeply controlled in their roles, they forget their own expressions and movements, losing their own shadows beneath their feet and the images in the mirror. They are unaware of being entangled in the control of whose dreams, memories, or ideals. In the end, they only faintly remember the gentleness that once existed in the image of their mothers.",ai_voice_tw_bbbb70d6.mp3,ai_voice_en_bbbb70d6.mp3,,(0217) 鏡子_海報w594×h840mm (2).jpg,(0217) 鏡子_海報w594×h840mm (2).jpg
特別單元,P007,敬請期待,Coming Soon,敬請期待.png,Coming soon.png,敬請期待下期內容！,Stay tuned for the next episode!,,,,敬請期待.png,Coming soon.png
常態單元,P008,沙中房間,La Camera Insabbiata,常態片單-沙中房間.jpg,常態片單-沙中房間.jpg,由八個獨特的房間所構成，觀者置身於象徵「記憶」的黑板所構成的虛擬世界中，任意翱翔，探索文字、圖像、符號、聲音與記憶的各種線索。,"La Camera Insabbiata Composed of eight unique rooms, the visitors are placed in a virtual world made up of blackboards that symbolize ""memory,"" where they can freely soar and explore various clues of words, images, symbols, sounds, and memories.",ai_voice_tw_aab3f3c0.mp3,ai_voice_en_aab3f3c0.mp3,,常態片單-沙中房間.jpg,常態片單-沙中房間.jpg
常態單元,P009,郭雪湖-望鄉三態,Kuo Hsueh-Hu Home Gazing,常態片單-望鄉三態.jpg,常態片單-望鄉三態.jpg,思鄉之情裊裊，神往之情依依，經由科技重新詮釋郭雪湖先生美學的《望鄉三態》，釋放禁錮的時空、打破永恆的靜態，讓思鄉之情再度流轉。,"Homesickness and longing were reinterpret into Kuo's aesthetic painting Three States of Home Gazing through technology. Set free the confined time and space, break the eternal state and let the homesickness flow again.",ai_voice_tw_a8a363fd.mp3,ai_voice_en_a8a363fd.mp3,,常態片單-望鄉三態.jpg,常態片單-望鄉三態.jpg
常態單元,P010,連合島漫遊,Roaming in United-Islands,常態片單-連合島漫遊.jpg,常態片單-連合島漫遊.jpg,從大眾消費文化整合世代記憶的創作品，將共同的卡漫角色記憶分析色彩，喚起集體視覺記憶的當代藝術作品，充滿趣味。進而透過這視覺色彩記憶、大眾之間的符碼，進行記憶的交換，建構色彩記憶資料庫。,"Integrating Pop Culture and Generational Memory Through Color and Character. These contemporary artworks draw from the visual language of mass consumer culture, analyzing the colors of familiar cartoon characters to evoke collective visual memories. Playful and engaging, the works transform shared nostalgia into a dialogue of signs and symbols, enabling an exchange of memories among the public. Through this process, a color-based memory archive is gradually constructed.",ai_voice_tw_f8cc837c.mp3,ai_voice_en_f8cc837c.mp3,,常態片單-連合島漫遊.jpg,常態片單-連合島漫遊.jpg
常態單元,P011,凝視臺灣的山水與本土風行開創水墨現代化,Gazing Upon Taiwan's Landscape and Local Life—Pioneering the Modernization of Ink painting,常態片單-凝視台灣的山水.jpg,常態片單-凝視台灣的山水.jpg,影片中可看見席德進早年受到西方現代藝術的啟發，呈現西方現代思潮如普普藝術和歐普藝術的影響，創作出民間的門神、新年、廟宇、窗櫺的藝術題材，具有真實的情感流露。,"In this video, viewers can witness how Shiy De-jinn was inspired by Western modern art in his early years. Influences from movements such as Pop Art and Op Art are evident in his work, as he turned to local subjects like door gods, Lunar New Year celebrations, temples, and traditional window lattices. These themes are portrayed with striking authenticity and emotional resonance, reflecting a deeply personal and cultural expression.",ai_voice_tw_1bbfee27.mp3,ai_voice_en_1bbfee27.mp3,,常態片單-凝視台灣的山水.jpg,常態片單-凝視台灣的山水.jpg
常態單元,P012,藝術的探險者,Explorer of Art,常態片單-藝術的探索者.jpg,常態片單-藝術的探索者.jpg,走入劉其偉童趣而不羈的意識世界，從童年蟲魚鳥獸的色彩啟蒙，到他退休後所投入的藝術創作，甚至是田野的冒險，都呈現在畫家親筆畫作所構築的一方天地。,"Enter the whimsical and untamed realm of Max Liu’s imagination. From the vibrant creatures of his childhood insects, fish, birds, and beasts to the artistic explorations he pursued after retirement, and even his adventurous field journeys, this exhibition unveils a world constructed through the artist’s own hand-drawn works. Each piece offers a glimpse into the playful yet boundless consciousness of a painter who never ceased to explore.",ai_voice_tw_df1481b4.mp3,ai_voice_en_df1481b4.mp3,,常態片單-藝術的探索者.jpg,常態片單-藝術的探索者.jpg
常態單元,P013,無價之畫：巴黎的追光少年,Priceless:A Taiwanese Painter in Paris,常態片單-楊三郎.jpg,常態片單-楊三郎.jpg,昭和時期，台灣藝壇正式展覽平台有限，對懷抱藝術夢想的年輕創作者而言，機會寥寥可數 。楊三郎仍舊懷抱成為藝術家的夢想。在一次台展（臺灣美術展覽會）落選後，楊三郎感到沮喪與挫折 。1932年7月，他與畫家劉啟祥一同離開台灣前往法國，希望能重新找到自己的繪畫價值 。他們先抵達馬賽，隨後轉往巴黎，在歐洲藝術中心繼續追尋藝術熱情與深造之路 。,"The Showa period held few opportunities for aspiring artists in Taiwan, where formal exhibition platforms remained limited. Yet the young Yang San-lang still dreamed of becoming one. After being rejected in a bid to be shown in the Taiwan Art Exhibition (Taiten), Yang San-lang was left sad and frustrated. He left Taiwan for France in July 1932, traveling with fellow painter Liu Chi-hsiang, where he hoped to rediscover his artistic path. Arriving first in Marseille before heading to Paris, Yang pursued his passion and continued his artistic training in the heart of the European art world.",ai_voice_tw_1bb59d60.mp3,ai_voice_en_1bb59d60.mp3,,常態片單-楊三郎.jpg,常態片單-楊三郎.jpg
常態單元,P014,窺見生命的奧妙,Wonder of Life,常態片單-蓮池.jpg,常態片單-蓮池 EN.jpg,"公視以林玉山〈蓮池〉為藍本，全新製作 VR 互動影片《窺見生命的奧妙》，運用 4K 超高畫質技術重現〈蓮池〉的生態世界。
 影片透過不同生物之間的視角轉換，帶領觀眾走入大師的作品之中，深入體會這位台灣畫壇大師當年從天黑守到天亮，直到「親眼目睹」荷花綻放、並「窺見生命的奧妙」時，心中湧現的感動。","Based on Lin Yu-shan’s painting Lotus Pond, The Taiwan Public Television Service has created a new VR interactive video titled Lin Yu-shan: Sketching Lotus Pond—A Glimpse into the Mysteries of Life.

Using 4K ultra-high-definition technology, the video recreates the ecological world of Lotus Pond.
Through the perspective shifts between different creatures, it guides viewers into the master's work, allowing them to deeply experience the emotions felt by this giant of Taiwanese painting when he waited from dusk till dawn to ""witness"" the lotus flowers bloom and ""glimpse the mysteries of life.""",ai_voice_tw_5c01b05e.mp3,ai_voice_en_15047d7b.mp3,,常態片單-蓮池.jpg,常態片單-蓮池 EN.jpg
問卷調查,P015,回饋表單,Feedback,回饋表單-0203.jpg,回饋表單-0203.jpg,,,,,,回饋表單-0203.jpg,回饋表單-0203.jpg
